application_id,student_id,program_id,applied,accepted,enrolled,completion,satisfaction_score,career_outcome
89,435,29,1.0,1,1.0,1.0,3.0,Industry Job
90,107,19,1.0,0,0.0,0.0,0.0,
91,188,279,1.0,0,0.0,0.0,0.0,
92,264,117,1.0,1,1.0,1.0,3.0,Started Company
93,86,106,1.0,0,0.0,0.0,0.0,
94,324,227,1.0,1,1.0,1.0,5.0,Research Role
95,331,186,1.0,1,1.0,1.0,1.0,Further Studies
96,456,261,1.0,1,1.0,1.0,9.0,Academic Position
97,137,16,1.0,1,1.0,1.0,8.0,Research Role
98,346,273,1.0,0,0.0,0.0,0.0,
99,386,160,1.0,0,0.0,0.0,0.0,
100,336,250,1.0,1,1.0,1.0,8.0,Industry Job
101,95,224,1.0,0,0.0,0.0,0.0,
102,326,256,1.0,1,1.0,1.0,3.0,Started Company
103,245,180,1.0,1,1.0,1.0,2.0,Further Studies
104,469,20,1.0,0,0.0,0.0,0.0,
105,90,112,1.0,0,0.0,0.0,0.0,
106,59,120,1.0,1,1.0,1.0,1.0,Started Company
107,403,194,1.0,1,1.0,1.0,6.0,Academic Position
108,28,111,1.0,0,0.0,0.0,0.0,
109,72,210,1.0,1,1.0,1.0,10.0,Research Role
110,270,1,1.0,1,1.0,1.0,1.0,Started Company
111,24,58,1.0,1,0.0,0.0,0.0,
112,112,93,1.0,0,0.0,0.0,0.0,
113,300,221,1.0,0,0.0,0.0,0.0,
114,485,211,1.0,1,1.0,1.0,5.0,Started Company
115,56,232,1.0,1,1.0,1.0,9.0,Industry Job
116,474,262,1.0,1,1.0,1.0,9.0,Started Company
117,223,103,1.0,1,1.0,0.0,0.0,
118,120,50,1.0,1,0.0,0.0,0.0,
119,179,110,1.0,0,0.0,0.0,0.0,
120,288,88,1.0,1,1.0,0.0,0.0,
121,434,20,1.0,1,0.0,0.0,0.0,
122,425,14,1.0,1,1.0,1.0,4.0,Further Studies
123,450,133,1.0,0,0.0,0.0,0.0,
124,281,296,1.0,1,1.0,1.0,7.0,Research Role
125,372,34,1.0,0,0.0,0.0,0.0,
126,492,208,1.0,0,0.0,0.0,0.0,
127,189,199,1.0,1,1.0,1.0,7.0,Academic Position
128,66,80,1.0,1,1.0,1.0,4.0,Started Company
129,298,71,1.0,1,1.0,1.0,5.0,Further Studies
130,449,155,1.0,1,1.0,1.0,9.0,Academic Position
131,420,78,1.0,0,0.0,0.0,0.0,
132,249,78,1.0,0,0.0,0.0,0.0,
133,76,172,1.0,0,0.0,0.0,0.0,
134,137,289,1.0,0,0.0,0.0,0.0,
135,164,33,1.0,1,1.0,1.0,7.0,Further Studies
136,233,300,1.0,1,0.0,0.0,0.0,
137,255,276,1.0,1,1.0,1.0,7.0,Started Company
138,476,7,1.0,0,0.0,0.0,0.0,
139,294,160,1.0,1,1.0,1.0,10.0,Started Company
140,417,240,1.0,1,1.0,0.0,0.0,
141,170,24,1.0,1,1.0,1.0,7.0,Research Role
142,317,214,1.0,0,0.0,0.0,0.0,
143,174,70,1.0,1,1.0,1.0,9.0,Industry Job
144,470,216,1.0,0,0.0,0.0,0.0,
145,345,104,1.0,1,1.0,1.0,5.0,Further Studies
146,445,215,1.0,1,1.0,1.0,6.0,Industry Job
147,18,54,1.0,0,0.0,0.0,0.0,
148,70,294,1.0,1,1.0,1.0,3.0,Industry Job
149,338,203,1.0,0,0.0,0.0,0.0,
150,116,288,1.0,0,0.0,0.0,0.0,
151,80,45,1.0,0,0.0,0.0,0.0,
152,15,198,1.0,1,1.0,1.0,1.0,Academic Position
153,176,216,1.0,1,1.0,1.0,2.0,Academic Position
154,456,184,1.0,1,1.0,1.0,8.0,Further Studies
155,269,27,1.0,1,1.0,1.0,1.0,Industry Job
156,119,166,1.0,1,1.0,1.0,10.0,Research Role
157,299,274,1.0,1,1.0,1.0,7.0,Industry Job
158,188,103,1.0,0,0.0,0.0,0.0,
159,57,104,1.0,0,0.0,0.0,0.0,
160,199,245,1.0,0,0.0,0.0,0.0,
161,17,169,1.0,1,1.0,1.0,5.0,Academic Position
162,434,116,1.0,0,0.0,0.0,0.0,
163,288,141,1.0,0,0.0,0.0,0.0,
164,406,125,1.0,0,0.0,0.0,0.0,
165,55,25,1.0,1,0.0,0.0,0.0,
166,499,194,1.0,1,1.0,1.0,6.0,Industry Job
167,441,100,1.0,1,1.0,1.0,8.0,Started Company
168,269,5,1.0,0,0.0,0.0,0.0,
169,303,19,1.0,0,0.0,0.0,0.0,
170,87,170,1.0,1,1.0,1.0,4.0,Started Company
171,318,274,1.0,1,1.0,1.0,6.0,Research Role
172,438,254,1.0,0,0.0,0.0,0.0,
173,29,121,1.0,1,1.0,1.0,3.0,Further Studies
174,22,32,1.0,1,1.0,1.0,7.0,Industry Job
175,321,149,1.0,0,0.0,0.0,0.0,
176,285,266,1.0,0,0.0,0.0,0.0,
177,48,37,1.0,0,0.0,0.0,0.0,
178,5,177,1.0,1,1.0,1.0,2.0,Started Company
179,250,13,1.0,1,0.0,0.0,0.0,
180,163,183,1.0,1,1.0,1.0,8.0,Further Studies
181,202,145,1.0,1,1.0,1.0,7.0,Started Company
182,467,265,1.0,1,1.0,0.0,0.0,
183,101,88,1.0,1,1.0,1.0,8.0,Further Studies
184,71,46,1.0,0,0.0,0.0,0.0,
185,430,119,1.0,0,0.0,0.0,0.0,
186,163,19,1.0,0,0.0,0.0,0.0,
187,173,220,1.0,1,1.0,1.0,2.0,Further Studies
188,141,233,1.0,0,0.0,0.0,0.0,
189,138,94,1.0,1,1.0,1.0,3.0,Started Company
190,66,251,1.0,0,0.0,0.0,0.0,
191,198,250,1.0,1,1.0,1.0,4.0,Academic Position
192,328,282,1.0,0,0.0,0.0,0.0,
193,228,232,1.0,0,0.0,0.0,0.0,
194,281,46,1.0,1,1.0,1.0,9.0,Further Studies
195,172,46,1.0,1,1.0,1.0,5.0,Industry Job
196,316,14,1.0,1,1.0,1.0,6.0,Started Company
197,431,85,1.0,0,0.0,0.0,0.0,
198,40,3,1.0,0,0.0,0.0,0.0,
199,7,28,1.0,1,1.0,1.0,1.0,Academic Position
200,174,157,1.0,1,1.0,1.0,4.0,Started Company
201,151,175,1.0,0,0.0,0.0,0.0,
202,211,114,1.0,1,1.0,1.0,4.0,Research Role
203,302,250,1.0,1,1.0,1.0,10.0,Industry Job
204,86,59,1.0,1,1.0,0.0,0.0,
205,397,203,1.0,1,1.0,0.0,0.0,
206,253,239,1.0,0,0.0,0.0,0.0,
207,21,234,1.0,1,1.0,1.0,8.0,Research Role
208,257,95,1.0,1,1.0,1.0,8.0,Further Studies
209,379,141,1.0,1,0.0,0.0,0.0,
210,403,113,1.0,0,0.0,0.0,0.0,
211,381,109,1.0,0,0.0,0.0,0.0,
212,444,289,1.0,1,1.0,1.0,10.0,Further Studies
213,33,97,1.0,0,0.0,0.0,0.0,
214,260,16,1.0,1,1.0,1.0,6.0,Research Role
215,234,44,1.0,0,0.0,0.0,0.0,
216,3,230,1.0,1,0.0,0.0,0.0,
217,347,108,1.0,0,0.0,0.0,0.0,
218,308,217,1.0,1,1.0,1.0,8.0,Research Role
219,489,260,1.0,1,1.0,1.0,9.0,Further Studies
220,227,196,1.0,1,1.0,1.0,5.0,Academic Position
221,284,95,1.0,1,1.0,1.0,1.0,Industry Job
222,70,56,1.0,0,0.0,0.0,0.0,
223,454,32,1.0,1,1.0,1.0,1.0,Started Company
224,439,231,1.0,1,1.0,1.0,2.0,Research Role
225,313,9,1.0,1,1.0,1.0,2.0,Industry Job
226,364,191,1.0,1,1.0,1.0,5.0,Started Company
227,471,200,1.0,1,1.0,1.0,7.0,Started Company
228,254,161,1.0,1,0.0,0.0,0.0,
229,481,87,1.0,0,0.0,0.0,0.0,
230,144,21,1.0,1,1.0,1.0,7.0,Research Role
231,24,76,1.0,1,1.0,1.0,4.0,Academic Position
232,453,141,1.0,0,0.0,0.0,0.0,
233,425,126,1.0,1,1.0,1.0,4.0,Academic Position
234,234,251,1.0,0,0.0,0.0,0.0,
235,333,84,1.0,1,0.0,0.0,0.0,
236,175,48,1.0,1,1.0,1.0,10.0,Industry Job
237,332,78,1.0,1,1.0,1.0,3.0,Industry Job
238,325,30,1.0,1,1.0,1.0,2.0,Further Studies
239,357,285,1.0,1,1.0,1.0,3.0,Academic Position
240,159,136,1.0,1,1.0,1.0,8.0,Industry Job
241,348,140,1.0,0,0.0,0.0,0.0,
242,348,41,1.0,1,1.0,0.0,0.0,
243,286,282,1.0,1,1.0,1.0,1.0,Further Studies
244,18,50,1.0,1,1.0,1.0,4.0,Started Company
245,44,258,1.0,0,0.0,0.0,0.0,
246,155,270,1.0,1,1.0,1.0,7.0,Industry Job
247,355,134,1.0,0,0.0,0.0,0.0,
248,410,234,1.0,1,1.0,1.0,5.0,Further Studies
249,377,128,1.0,1,1.0,0.0,0.0,
250,231,104,1.0,1,1.0,1.0,2.0,Academic Position
251,497,254,1.0,1,1.0,1.0,1.0,Started Company
252,371,95,1.0,1,1.0,1.0,6.0,Industry Job
253,316,217,1.0,1,1.0,1.0,5.0,Academic Position
254,402,61,1.0,1,0.0,0.0,0.0,
255,225,268,1.0,1,1.0,1.0,3.0,Started Company
256,217,241,1.0,0,0.0,0.0,0.0,
257,56,13,1.0,0,0.0,0.0,0.0,
258,31,147,1.0,1,1.0,1.0,9.0,Research Role
259,357,240,1.0,1,1.0,1.0,3.0,Academic Position
260,59,89,1.0,0,0.0,0.0,0.0,
261,380,95,1.0,1,1.0,1.0,2.0,Research Role
262,386,293,1.0,0,0.0,0.0,0.0,
263,353,25,1.0,0,0.0,0.0,0.0,
264,423,272,1.0,1,1.0,1.0,5.0,Industry Job
265,445,166,1.0,1,0.0,0.0,0.0,
266,235,250,1.0,1,1.0,0.0,0.0,
267,107,87,1.0,1,0.0,0.0,0.0,
268,191,142,1.0,1,1.0,1.0,9.0,Further Studies
269,480,134,1.0,1,0.0,0.0,0.0,
270,18,279,1.0,0,0.0,0.0,0.0,
271,401,126,1.0,1,0.0,0.0,0.0,
272,226,141,1.0,0,0.0,0.0,0.0,
273,167,103,1.0,1,0.0,0.0,0.0,
274,71,226,1.0,0,0.0,0.0,0.0,
275,362,63,1.0,1,1.0,1.0,8.0,Industry Job
276,54,294,1.0,0,0.0,0.0,0.0,
277,245,254,1.0,1,1.0,1.0,6.0,Academic Position
278,483,180,1.0,0,0.0,0.0,0.0,
279,350,40,1.0,1,1.0,0.0,0.0,
280,76,264,1.0,0,0.0,0.0,0.0,
281,35,189,1.0,0,0.0,0.0,0.0,
282,267,8,1.0,0,0.0,0.0,0.0,
283,317,104,1.0,1,0.0,0.0,0.0,
284,300,225,1.0,1,1.0,1.0,3.0,Research Role
285,121,34,1.0,0,0.0,0.0,0.0,
286,324,236,1.0,0,0.0,0.0,0.0,
287,25,228,1.0,1,1.0,1.0,6.0,Research Role
288,432,188,1.0,0,0.0,0.0,0.0,
289,160,22,1.0,0,0.0,0.0,0.0,
290,84,40,1.0,0,0.0,0.0,0.0,
291,114,173,1.0,0,0.0,0.0,0.0,
292,223,179,1.0,0,0.0,0.0,0.0,
293,388,86,1.0,0,0.0,0.0,0.0,
294,166,133,1.0,1,1.0,1.0,5.0,Started Company
295,191,13,1.0,1,1.0,1.0,1.0,Industry Job
296,175,28,1.0,0,0.0,0.0,0.0,
297,1,84,1.0,1,1.0,1.0,5.0,Industry Job
298,387,280,1.0,0,0.0,0.0,0.0,
299,229,263,1.0,1,1.0,1.0,7.0,Academic Position
300,86,166,1.0,0,0.0,0.0,0.0,
301,62,293,1.0,1,1.0,1.0,9.0,Research Role
302,320,68,1.0,0,0.0,0.0,0.0,
303,401,226,1.0,1,0.0,0.0,0.0,
304,382,170,1.0,0,0.0,0.0,0.0,
305,206,86,1.0,1,1.0,1.0,1.0,Academic Position
306,105,133,1.0,1,1.0,1.0,3.0,Academic Position
307,318,178,1.0,1,1.0,1.0,8.0,Research Role
308,291,252,1.0,1,1.0,1.0,6.0,Academic Position
309,250,15,1.0,1,1.0,1.0,5.0,Research Role
310,13,223,1.0,0,0.0,0.0,0.0,
311,163,201,1.0,0,0.0,0.0,0.0,
312,43,107,1.0,1,1.0,1.0,10.0,Academic Position
313,386,250,1.0,0,0.0,0.0,0.0,
314,440,89,1.0,1,1.0,1.0,2.0,Further Studies
315,111,125,1.0,0,0.0,0.0,0.0,
316,205,113,1.0,1,1.0,1.0,3.0,Academic Position
317,384,137,1.0,1,1.0,1.0,2.0,Academic Position
318,256,247,1.0,1,1.0,1.0,1.0,Further Studies
319,307,166,1.0,1,0.0,0.0,0.0,
320,438,150,1.0,0,0.0,0.0,0.0,
321,144,68,1.0,1,1.0,1.0,7.0,Industry Job
322,146,221,1.0,0,0.0,0.0,0.0,
323,391,271,1.0,1,1.0,1.0,3.0,Research Role
324,301,20,1.0,1,1.0,1.0,7.0,Started Company
325,164,289,1.0,1,1.0,1.0,7.0,Further Studies
326,169,100,1.0,1,1.0,1.0,8.0,Industry Job
327,478,252,1.0,0,0.0,0.0,0.0,
328,298,77,1.0,1,0.0,0.0,0.0,
329,233,135,1.0,1,0.0,0.0,0.0,
330,391,173,1.0,1,0.0,0.0,0.0,
331,271,201,1.0,0,0.0,0.0,0.0,
332,60,217,1.0,1,1.0,0.0,0.0,
333,296,208,1.0,0,0.0,0.0,0.0,
334,467,74,1.0,1,1.0,1.0,1.0,Academic Position
335,235,11,1.0,0,0.0,0.0,0.0,
336,165,287,1.0,1,1.0,0.0,0.0,
337,194,256,1.0,0,0.0,0.0,0.0,
338,234,12,1.0,1,1.0,1.0,5.0,Industry Job
339,368,78,1.0,0,0.0,0.0,0.0,
340,183,172,1.0,1,1.0,1.0,10.0,Further Studies
341,333,96,1.0,0,0.0,0.0,0.0,
342,232,273,1.0,1,1.0,1.0,9.0,Academic Position
343,361,179,1.0,0,0.0,0.0,0.0,
344,491,64,1.0,1,1.0,1.0,7.0,Industry Job
345,107,132,1.0,0,0.0,0.0,0.0,
346,378,272,1.0,0,0.0,0.0,0.0,
347,223,109,1.0,1,1.0,1.0,1.0,Started Company
348,80,273,1.0,0,0.0,0.0,0.0,
349,234,168,1.0,0,0.0,0.0,0.0,
350,381,180,1.0,1,1.0,1.0,8.0,Research Role
351,184,58,1.0,1,1.0,1.0,3.0,Research Role
352,428,79,1.0,1,1.0,1.0,4.0,Further Studies
353,185,61,1.0,0,0.0,0.0,0.0,
354,134,121,1.0,0,0.0,0.0,0.0,
355,220,207,1.0,1,1.0,1.0,4.0,Academic Position
356,288,34,1.0,0,0.0,0.0,0.0,
357,364,70,1.0,1,0.0,0.0,0.0,
358,202,17,1.0,0,0.0,0.0,0.0,
359,370,20,1.0,1,0.0,0.0,0.0,
360,146,69,1.0,1,1.0,1.0,10.0,Academic Position
361,324,215,1.0,1,1.0,1.0,8.0,Research Role
362,127,161,1.0,0,0.0,0.0,0.0,
363,457,102,1.0,1,0.0,0.0,0.0,
364,135,206,1.0,0,0.0,0.0,0.0,
365,114,145,1.0,1,1.0,1.0,1.0,Industry Job
366,264,57,1.0,1,1.0,1.0,8.0,Academic Position
367,64,83,1.0,0,0.0,0.0,0.0,
368,491,269,1.0,1,1.0,1.0,9.0,Started Company
369,135,187,1.0,1,1.0,1.0,9.0,Started Company
370,41,6,1.0,0,0.0,0.0,0.0,
371,296,110,1.0,1,0.0,0.0,0.0,
372,3,138,1.0,0,0.0,0.0,0.0,
373,401,51,1.0,1,0.0,0.0,0.0,
374,194,51,1.0,1,0.0,0.0,0.0,
375,463,87,1.0,1,1.0,1.0,5.0,Academic Position
376,110,68,1.0,0,0.0,0.0,0.0,
377,221,84,1.0,1,1.0,1.0,4.0,Academic Position
378,370,42,1.0,1,1.0,1.0,4.0,Research Role
379,368,219,1.0,1,1.0,0.0,0.0,
380,436,57,1.0,1,1.0,0.0,0.0,
381,406,226,1.0,1,1.0,1.0,9.0,Further Studies
382,4,196,1.0,1,0.0,0.0,0.0,
383,244,248,1.0,1,0.0,0.0,0.0,
384,390,166,1.0,0,0.0,0.0,0.0,
385,166,62,1.0,1,1.0,1.0,8.0,Research Role
386,26,263,1.0,0,0.0,0.0,0.0,
387,395,112,1.0,0,0.0,0.0,0.0,
388,474,253,1.0,1,1.0,1.0,10.0,Further Studies
389,17,199,1.0,1,0.0,0.0,0.0,
390,216,178,1.0,1,1.0,1.0,10.0,Started Company
391,92,26,1.0,1,1.0,1.0,7.0,Further Studies
392,483,246,1.0,1,1.0,1.0,3.0,Research Role
393,31,19,1.0,1,0.0,0.0,0.0,
394,205,265,1.0,1,0.0,0.0,0.0,
395,419,20,1.0,0,0.0,0.0,0.0,
396,400,106,1.0,0,0.0,0.0,0.0,
397,207,237,1.0,0,0.0,0.0,0.0,
398,107,246,1.0,1,0.0,0.0,0.0,
399,146,81,1.0,1,1.0,0.0,0.0,
400,367,150,1.0,0,0.0,0.0,0.0,
401,101,10,1.0,1,1.0,1.0,4.0,Academic Position
402,368,224,1.0,0,0.0,0.0,0.0,
403,318,264,1.0,0,0.0,0.0,0.0,
404,368,149,1.0,1,1.0,1.0,9.0,Further Studies
405,241,278,1.0,1,1.0,1.0,8.0,Research Role
406,489,274,1.0,0,0.0,0.0,0.0,
407,411,194,1.0,1,1.0,1.0,1.0,Started Company
408,247,172,1.0,1,1.0,0.0,0.0,
409,163,265,1.0,1,1.0,1.0,3.0,Further Studies
410,372,26,1.0,0,0.0,0.0,0.0,
411,173,26,1.0,1,1.0,1.0,10.0,Started Company
412,35,34,1.0,0,0.0,0.0,0.0,
413,284,264,1.0,1,1.0,1.0,2.0,Started Company
414,359,138,1.0,1,1.0,1.0,2.0,Industry Job
415,381,183,1.0,1,1.0,1.0,8.0,Further Studies
416,358,242,1.0,0,0.0,0.0,0.0,
417,393,54,1.0,0,0.0,0.0,0.0,
418,460,168,1.0,0,0.0,0.0,0.0,
419,399,119,1.0,1,1.0,1.0,6.0,Research Role
420,21,143,1.0,0,0.0,0.0,0.0,
421,308,81,1.0,0,0.0,0.0,0.0,
422,163,245,1.0,1,0.0,0.0,0.0,
423,490,62,1.0,1,1.0,1.0,6.0,Further Studies
424,97,46,1.0,1,0.0,0.0,0.0,
425,307,87,1.0,0,0.0,0.0,0.0,
426,339,99,1.0,1,1.0,0.0,0.0,
427,55,295,1.0,1,1.0,1.0,4.0,Further Studies
428,471,53,1.0,1,1.0,1.0,1.0,Started Company
429,333,192,1.0,0,0.0,0.0,0.0,
430,127,80,1.0,1,1.0,1.0,7.0,Started Company
431,428,16,1.0,1,1.0,0.0,0.0,
432,193,194,1.0,1,1.0,1.0,8.0,Started Company
433,243,141,1.0,1,1.0,1.0,2.0,Started Company
434,349,108,1.0,0,0.0,0.0,0.0,
435,88,265,1.0,0,0.0,0.0,0.0,
436,336,290,1.0,1,1.0,1.0,2.0,Research Role
437,409,209,1.0,1,0.0,0.0,0.0,
438,215,165,1.0,1,1.0,1.0,1.0,Academic Position
439,92,152,1.0,1,0.0,0.0,0.0,
440,303,290,1.0,1,1.0,1.0,4.0,Industry Job
441,464,268,1.0,1,0.0,0.0,0.0,
442,235,151,1.0,0,0.0,0.0,0.0,
443,184,207,1.0,1,1.0,1.0,6.0,Started Company
444,38,255,1.0,0,0.0,0.0,0.0,
445,139,141,1.0,0,0.0,0.0,0.0,
446,195,96,1.0,1,1.0,1.0,5.0,Started Company
447,15,227,1.0,1,1.0,1.0,4.0,Industry Job
448,257,193,1.0,1,1.0,1.0,4.0,Started Company
449,135,118,1.0,1,1.0,1.0,10.0,Academic Position
450,1,5,1.0,1,1.0,1.0,7.0,Further Studies
451,49,243,1.0,0,0.0,0.0,0.0,
452,96,21,1.0,1,1.0,1.0,7.0,Industry Job
453,201,152,1.0,1,1.0,1.0,2.0,Research Role
454,413,128,1.0,1,1.0,1.0,7.0,Industry Job
455,26,124,1.0,0,0.0,0.0,0.0,
456,343,146,1.0,0,0.0,0.0,0.0,
457,429,277,1.0,1,1.0,0.0,0.0,
458,235,152,1.0,1,1.0,1.0,2.0,Academic Position
459,349,111,1.0,1,1.0,0.0,0.0,
460,244,116,1.0,1,1.0,1.0,4.0,Research Role
461,358,188,1.0,1,0.0,0.0,0.0,
462,481,57,1.0,1,1.0,1.0,1.0,Further Studies
463,327,251,1.0,1,0.0,0.0,0.0,
464,396,150,1.0,1,1.0,1.0,5.0,Started Company
465,351,162,1.0,0,0.0,0.0,0.0,
466,416,120,1.0,1,1.0,1.0,1.0,Industry Job
467,374,70,1.0,1,1.0,1.0,4.0,Research Role
468,404,99,1.0,1,0.0,0.0,0.0,
469,375,167,1.0,0,0.0,0.0,0.0,
470,51,298,1.0,1,1.0,1.0,9.0,Industry Job
471,81,151,1.0,1,0.0,0.0,0.0,
472,36,2,1.0,1,1.0,1.0,8.0,Further Studies
473,67,152,1.0,0,0.0,0.0,0.0,
474,129,65,1.0,1,1.0,1.0,6.0,Industry Job
475,370,69,1.0,1,1.0,1.0,8.0,Research Role
476,155,121,1.0,1,1.0,1.0,5.0,Academic Position
477,245,109,1.0,0,0.0,0.0,0.0,
478,111,247,1.0,1,0.0,0.0,0.0,
479,168,93,1.0,0,0.0,0.0,0.0,
480,481,268,1.0,0,0.0,0.0,0.0,
481,468,103,1.0,1,1.0,1.0,7.0,Research Role
482,142,112,1.0,1,1.0,1.0,8.0,Industry Job
483,356,62,1.0,1,1.0,1.0,7.0,Further Studies
484,197,300,1.0,1,1.0,1.0,4.0,Started Company
485,471,136,1.0,0,0.0,0.0,0.0,
486,109,55,1.0,1,1.0,1.0,5.0,Started Company
487,376,108,1.0,0,0.0,0.0,0.0,
488,79,258,1.0,1,0.0,0.0,0.0,
489,390,253,1.0,1,1.0,0.0,0.0,
490,161,222,1.0,1,1.0,1.0,10.0,Further Studies
491,439,167,1.0,1,0.0,0.0,0.0,
492,19,160,1.0,1,1.0,1.0,6.0,Industry Job
493,127,166,1.0,1,0.0,0.0,0.0,
494,205,205,1.0,0,0.0,0.0,0.0,
495,29,267,1.0,0,0.0,0.0,0.0,
496,445,138,1.0,1,1.0,1.0,6.0,Further Studies
497,454,248,1.0,1,1.0,1.0,9.0,Industry Job
498,207,55,1.0,0,0.0,0.0,0.0,
499,464,209,1.0,0,0.0,0.0,0.0,
500,280,17,1.0,1,0.0,0.0,0.0,
501,151,68,1.0,1,0.0,0.0,0.0,
502,240,133,1.0,0,0.0,0.0,0.0,
503,266,188,1.0,0,0.0,0.0,0.0,
504,182,138,1.0,1,0.0,0.0,0.0,
505,105,174,1.0,1,1.0,1.0,10.0,Research Role
506,425,97,1.0,0,0.0,0.0,0.0,
507,433,171,1.0,0,0.0,0.0,0.0,
508,401,154,1.0,1,1.0,0.0,0.0,
509,497,183,1.0,1,0.0,0.0,0.0,
510,440,242,1.0,1,1.0,1.0,2.0,Academic Position
511,236,285,1.0,1,1.0,1.0,6.0,Industry Job
512,173,27,1.0,0,0.0,0.0,0.0,
513,158,60,1.0,1,1.0,0.0,0.0,
